case_id,step,age,block,feature_relative_l1,feature_cosine_distance,baseline_guided_noise_error,replacement_guided_noise_error,error_reduction,recovery_fraction,suffix_milliseconds
portrait_seed0,18,2,up_block_2,0.2652569553831062,0.03044099869430017,0.14289268851280212,0.09741432219743729,0.04547836631536484,0.3182693725528883,1803.9849853515625
portrait_seed0,18,2,up_block_1,0.27934449445296594,0.037526800112921865,0.14289268851280212,0.06819453835487366,0.07469815015792847,0.522756978928534,1553.317138671875
portrait_seed0,18,2,up_boundary,0.2694045855860138,0.038515004042248835,0.14289268851280212,0.0,0.14289268851280212,1.0,471.5895080566406
portrait_seed1,4,2,down_block_0,0.17759006165701158,0.012004737107578656,0.062266118824481964,0.0,0.062266118824481964,1.0,1861.160888671875
portrait_seed1,4,2,down_block_1,0.33473102563037394,0.040293729267617096,0.062266118824481964,0.01148550771176815,0.050780611112713814,0.8155416151094318,1701.3583984375
portrait_seed1,4,2,down_block_2,0.4553077398594217,0.08978941985181021,0.062266118824481964,0.02199033461511135,0.04027578420937061,0.6468330605750694,1632.30712890625
portrait_seed1,4,2,down_block_3,0.4613933164879497,0.10175513146805815,0.062266118824481964,0.046963904052972794,0.01530221477150917,0.24575507612163236,1610.8839111328125
portrait_seed1,4,2,mid_block,0.4597309236247076,0.09912430824460017,0.062266118824481964,0.05504178628325462,0.007224332541227341,0.11602349203089976,1586.8896484375
portrait_seed1,4,2,up_block_3,0.4169402921187585,0.07670589368959391,0.062266118824481964,0.04550320282578468,0.01676291599869728,0.26921408167336086,1544.8289794921875
portrait_seed1,4,2,up_block_2,0.4322357738707261,0.10305266551031345,0.062266118824481964,0.01990625634789467,0.042359862476587296,0.6803035627769388,1417.2982177734375
portrait_seed1,4,2,up_block_1,0.4625872482860759,0.11499044124307167,0.062266118824481964,0.008573256433010101,0.05369286239147186,0.8623126574312956,1192.082763671875
portrait_seed1,4,2,up_boundary,0.26032230257104416,0.02480286313736957,0.062266118824481964,0.0,0.062266118824481964,1.0,359.81683349609375
portrait_seed1,9,2,down_block_0,0.21393855077515422,0.01904947917491273,0.08845136314630508,0.0,0.08845136314630508,1.0,2086.754150390625
portrait_seed1,9,2,down_block_1,0.3239660952940734,0.03910621262365743,0.08845136314630508,0.02442709356546402,0.06402426958084106,0.7238358720932339,1942.61767578125
portrait_seed1,9,2,down_block_2,0.3644188532161488,0.06235805539681216,0.08845136314630508,0.04582710564136505,0.04262425750494003,0.4818948627669691,1853.0699462890625
portrait_seed1,9,2,down_block_3,0.35030242665406397,0.061856146518278865,0.08845136314630508,0.07099650800228119,0.017454855144023895,0.1973384527172552,1819.08154296875
portrait_seed1,9,2,mid_block,0.3129728291548537,0.04849933832836506,0.08845136314630508,0.07285775989294052,0.015593603253364563,0.1762957935150371,1796.0836181640625
portrait_seed1,9,2,up_block_3,0.259376317363101,0.028547370977119124,0.08845136314630508,0.0706988126039505,0.017752550542354584,0.20070409217990856,1752.774169921875
portrait_seed1,9,2,up_block_2,0.2483565144056849,0.030990213559445312,0.08845136314630508,0.04412291571497917,0.04432844743132591,0.5011618346458199,1640.8577880859375
portrait_seed1,9,2,up_block_1,0.3344580066354566,0.06053125288960726,0.08845136314630508,0.020425399765372276,0.06802596338093281,0.7690776146480959,1409.80712890625
portrait_seed1,9,2,up_boundary,0.2675578434566683,0.03385667540058124,0.08845136314630508,0.0,0.08845136314630508,1.0,399.3357849121094
portrait_seed1,12,2,down_block_0,0.21915015078511632,0.020935801360742468,0.09623835235834122,0.0,0.09623835235834122,1.0,2218.167236328125
portrait_seed1,12,2,down_block_1,0.30636474381559176,0.03654663765545163,0.09623835235834122,0.026093386113643646,0.07014496624469757,0.7288670735292148,2047.0072021484375
portrait_seed1,12,2,down_block_2,0.3501495630347851,0.06140727561133852,0.09623835235834122,0.04595497250556946,0.05028337985277176,0.5224879543401033,2008.1949462890625
portrait_seed1,12,2,down_block_3,0.3312658572923172,0.055874334963700534,0.09623835235834122,0.09237639605998993,0.003861956298351288,0.04012907748016493,1993.601806640625
portrait_seed1,12,2,mid_block,0.29391128681739453,0.0420243931912635,0.09623835235834122,0.09321698546409607,0.0030213668942451477,0.03139462407871614,1955.939208984375
portrait_seed1,12,2,up_block_3,0.24374568106212066,0.025482696657264325,0.09623835235834122,0.0918370932340622,0.004401259124279022,0.04573290186734534,1925.358642578125
portrait_seed1,12,2,up_block_2,0.23860359683632518,0.029352046159499268,0.09623835235834122,0.043861567974090576,0.05237678438425064,0.5442402441515928,1734.5660400390625
portrait_seed1,12,2,up_block_1,0.2768046842791497,0.04044267171085847,0.09623835235834122,0.02265760861337185,0.07358074374496937,0.7645677834445171,1529.3243408203125
portrait_seed1,12,2,up_boundary,0.2290348410484909,0.025768409298272732,0.09623835235834122,0.0,0.09623835235834122,1.0,444.3868713378906
portrait_seed1,15,2,down_block_0,0.23428556573729026,0.0245884710841614,0.09575147181749344,0.0,0.09575147181749344,1.0,2330.392578125
portrait_seed1,15,2,down_block_1,0.28722626002316565,0.032305509640920604,0.09575147181749344,0.038619112223386765,0.057132359594106674,0.5966734349838871,2167.265625
portrait_seed1,15,2,down_block_2,0.2948781884603173,0.04361910081138154,0.09575147181749344,0.05585477128624916,0.03989670053124428,0.416669318747279,2066.34423828125
portrait_seed1,15,2,down_block_3,0.2717776234304123,0.03666137016479876,0.09575147181749344,0.07817836105823517,0.01757311075925827,0.18352836176506404,2057.17431640625
portrait_seed1,15,2,mid_block,0.24243581476543064,0.02834934765504682,0.09575147181749344,0.07902135699987411,0.016730114817619324,0.17472436193469346,2038.041259765625
portrait_seed1,15,2,up_block_3,0.1948045751216241,0.016320684170322286,0.09575147181749344,0.07814964652061462,0.017601825296878815,0.18382824788770533,1993.1109619140625
portrait_seed1,15,2,up_block_2,0.19220711072050958,0.01789479960788276,0.09575147181749344,0.05436760559678078,0.04138386622071266,0.4322008365531148,1860.220458984375
portrait_seed1,15,2,up_block_1,0.2294388275528315,0.02675838659001173,0.09575147181749344,0.03439975902438164,0.0613517127931118,0.6407391095778756,1583.954345703125
portrait_seed1,15,2,up_boundary,0.21770308408641173,0.024430241956752696,0.09575147181749344,0.0,0.09575147181749344,1.0,465.1805419921875
portrait_seed1,18,2,down_block_0,0.2868118437178277,0.03721351770412762,0.13373014330863953,0.0,0.13373014330863953,1.0,2389.764892578125
portrait_seed1,18,2,down_block_1,0.3171031032318949,0.04474098578616825,0.13373014330863953,0.07410599291324615,0.05962415039539337,0.4458542324132947,2221.935546875
portrait_seed1,18,2,down_block_2,0.30936486260621543,0.04759951294016562,0.13373014330863953,0.0962294191122055,0.03750072419643402,0.2804208779608129,2144.195068359375
portrait_seed1,18,2,down_block_3,0.2828725788792086,0.03943334113278674,0.13373014330863953,0.10955136269330978,0.024178780615329742,0.1808027720386634,2131.23583984375
portrait_seed1,18,2,mid_block,0.24626174255896474,0.029377101424745033,0.13373014330863953,0.11017879843711853,0.023551344871520996,0.17611096712254462,2084.153076171875
portrait_seed1,18,2,up_block_3,0.20528517074835517,0.018543175995788808,0.13373014330863953,0.109518863260746,0.024211280047893524,0.18104579452977654,2052.3251953125
portrait_seed1,18,2,up_block_2,0.22933860260028505,0.02454465413007889,0.13373014330863953,0.09565700590610504,0.038073137402534485,0.28470123833386185,1901.60498046875
portrait_seed1,18,2,up_block_1,0.27960749615351255,0.03916999503316032,0.13373014330863953,0.06648363918066025,0.06724650412797928,0.5028522550280918,1622.81689453125
portrait_seed1,18,2,up_boundary,0.2669374843151233,0.03774204062681741,0.13373014330863953,0.0,0.13373014330863953,1.0,485.4219055175781
