case,prompt_id,seed,step,model,baseline_guided_noise_error,residual_relative_l1,corrected_feature_relative_l1,guided_noise_error,recovery_fraction,milliseconds
architecture_seed101,architecture,101,4,oracle,0.07204380631446838,0.0,0.0,0.01235936488956213,0.8284465310506501,1105.604248046875
architecture_seed101,architecture,101,9,channel_mean,0.2267543375492096,0.9931950569152832,0.4938664734363556,0.231448695063591,-0.020702393458571226,1277.8470458984375
architecture_seed101,architecture,101,9,channel_affine,0.2267543375492096,0.9884380102157593,0.4915010333061218,0.22898726165294647,-0.009847326970106115,1262.654541015625
architecture_seed101,architecture,101,9,oracle,0.2267543375492096,0.0,0.0,0.04649917408823967,0.7949359002751224,1350.95654296875
architecture_seed101,architecture,101,12,channel_mean,0.2850283086299896,0.9910847544670105,0.4355306923389435,0.28700339794158936,-0.006929449643416646,1399.3758544921875
architecture_seed101,architecture,101,12,channel_affine,0.2850283086299896,0.9831817746162415,0.4320577383041382,0.2820644974708557,0.01039830455220289,1401.349853515625
architecture_seed101,architecture,101,12,oracle,0.2850283086299896,0.0,0.0,0.07385440170764923,0.7408874856584033,1469.42626953125
architecture_seed101,architecture,101,15,channel_mean,0.2543295621871948,0.9687004089355469,0.3109799027442932,0.2495260089635849,0.01888712103422076,1482.765869140625
architecture_seed101,architecture,101,15,channel_affine,0.2543295621871948,0.9527148604393005,0.305848091840744,0.24571813642978668,0.03385931892207581,1476.4794921875
architecture_seed101,architecture,101,15,oracle,0.2543295621871948,0.0,0.0,0.09339138865470886,0.632793813461725,1485.9061279296875
architecture_seed101,architecture,101,18,channel_mean,0.25026312470436096,0.9050289392471313,0.2662748098373413,0.23622089624404907,0.056109858281759066,1516.569580078125
architecture_seed101,architecture,101,18,channel_affine,0.25026312470436096,0.8713229298591614,0.25635793805122375,0.23207776248455048,0.07266496908521017,1498.5155029296875
architecture_seed101,architecture,101,18,oracle,0.25026312470436096,0.0,0.0,0.12663303315639496,0.49400043132208077,1503.487548828125
architecture_seed202,architecture,202,4,channel_mean,0.08372260630130768,0.9678453207015991,0.5877094864845276,0.08360651880502701,0.0013865728912318509,1123.8277587890625
architecture_seed202,architecture,202,4,channel_affine,0.08372260630130768,0.9856180548667908,0.5985017418861389,0.08368360996246338,0.0004657802780763435,1101.6639404296875
architecture_seed202,architecture,202,4,oracle,0.08372260630130768,0.0,0.0,0.011526079848408699,0.8623301356992195,1100.916259765625
architecture_seed202,architecture,202,9,channel_mean,0.15523572266101837,0.9892172813415527,0.40042251348495483,0.1632414013147354,-0.05157111080159494,1371.506103515625
architecture_seed202,architecture,202,9,channel_affine,0.15523572266101837,0.9878067970275879,0.39985156059265137,0.1608402132987976,-0.0361030988338781,1358.781005859375
architecture_seed202,architecture,202,9,oracle,0.15523572266101837,0.0,0.0,0.047097280621528625,0.6966079726096747,1420.92333984375
architecture_seed202,architecture,202,12,channel_mean,0.24499233067035675,0.987953245639801,0.4011863172054291,0.24258989095687866,0.009806183348288687,1439.86865234375
architecture_seed202,architecture,202,12,channel_affine,0.24499233067035675,0.9781268835067749,0.39719605445861816,0.23955535888671875,0.0221924162636486,1432.4537353515625
architecture_seed202,architecture,202,12,oracle,0.24499233067035675,0.0,0.0,0.0745852068066597,0.6955610544926978,1464.667724609375
architecture_seed202,architecture,202,15,channel_mean,0.2170073688030243,0.9652808904647827,0.309647798538208,0.21258947253227234,0.02035827767103171,1515.904052734375
architecture_seed202,architecture,202,15,channel_affine,0.2170073688030243,0.9479406476020813,0.30408531427383423,0.20903529226779938,0.03673643240410467,1486.593017578125
architecture_seed202,architecture,202,15,oracle,0.2170073688030243,0.0,0.0,0.0847477912902832,0.6094704444474047,1495.1077880859375
architecture_seed202,architecture,202,18,channel_mean,0.21481873095035553,0.9036825299263,0.27262797951698303,0.2008979469537735,0.06480246827172215,1528.2799072265625
architecture_seed202,architecture,202,18,channel_affine,0.21481873095035553,0.870128870010376,0.26250529289245605,0.1979811191558838,0.07838055703979976,1501.84228515625
architecture_seed202,architecture,202,18,oracle,0.21481873095035553,0.0,0.0,0.11174577474594116,0.4798136351910321,1501.6224365234375
nature_seed101,nature,101,4,channel_mean,0.04788589105010033,1.0588040351867676,0.4293009042739868,0.04811182618141174,-0.004718198332678687,1172.44189453125
nature_seed101,nature,101,4,channel_affine,0.04788589105010033,1.1161633729934692,0.4525577425956726,0.04837708920240402,-0.010257680112703397,1145.4793701171875
nature_seed101,nature,101,4,oracle,0.04788589105010033,0.0,0.0,0.008185132406651974,0.8290700616160963,1197.239501953125
nature_seed101,nature,101,9,channel_mean,0.05118685960769653,1.0077190399169922,0.26539644598960876,0.049466826021671295,0.033603030137184096,1316.86328125
nature_seed101,nature,101,9,channel_affine,0.05118685960769653,1.0401545763015747,0.27393877506256104,0.04918684437870979,0.03907282541486516,1318.6063232421875
nature_seed101,nature,101,9,oracle,0.05118685960769653,0.0,0.0,0.01590377651154995,0.6892996242895387,1334.1107177734375
nature_seed101,nature,101,12,channel_mean,0.056858863681554794,0.9897965788841248,0.22248026728630066,0.053399842232465744,0.06083521943846318,1422.4190673828125
nature_seed101,nature,101,12,channel_affine,0.056858863681554794,1.0076515674591064,0.22649359703063965,0.05272713676095009,0.0726663646277731,1424.488037109375
nature_seed101,nature,101,12,oracle,0.056858863681554794,0.0,0.0,0.02193906158208847,0.6141487859314083,1413.340087890625
nature_seed101,nature,101,15,channel_mean,0.06752579659223557,0.9660570621490479,0.18493230640888214,0.05906548723578453,0.12529003408193545,1462.5784912109375
nature_seed101,nature,101,15,channel_affine,0.06752579659223557,0.9770315289497375,0.18703314661979675,0.058138832449913025,0.13901300859887816,1459.9007568359375
nature_seed101,nature,101,15,oracle,0.06752579659223557,0.0,0.0,0.03272358328104019,0.5153913773332235,1492.0084228515625
nature_seed101,nature,101,18,channel_mean,0.11561768501996994,0.9124399423599243,0.2171274721622467,0.09951169788837433,0.13930383685518113,1511.48046875
nature_seed101,nature,101,18,channel_affine,0.11561768501996994,0.9022465944290161,0.2147018313407898,0.09767945110797882,0.15515129808119543,1502.14892578125
nature_seed101,nature,101,18,oracle,0.11561768501996994,0.0,0.0,0.06286397576332092,0.4562771625079432,1512.3472900390625
nature_seed202,nature,202,4,channel_mean,0.04916190356016159,1.072975993156433,0.3917602598667145,0.048868484795093536,0.00596841749036395,1091.6693115234375
nature_seed202,nature,202,4,channel_affine,0.04916190356016159,1.1812617778778076,0.43129706382751465,0.04880096763372421,0.007341780938073008,1084.2225341796875
nature_seed202,nature,202,4,oracle,0.04916190356016159,0.0,0.0,0.009814497083425522,0.8003637700599797,1119.685791015625
nature_seed202,nature,202,9,channel_mean,0.04820374771952629,0.9854419827461243,0.24576658010482788,0.04573424905538559,0.05123042877307984,1208.8271484375
nature_seed202,nature,202,9,channel_affine,0.04820374771952629,1.0356663465499878,0.25829240679740906,0.0453067272901535,0.06009948533937886,1202.2801513671875
nature_seed202,nature,202,9,oracle,0.04820374771952629,0.0,0.0,0.015138980001211166,0.6859376974317976,1227.255859375
nature_seed202,nature,202,12,channel_mean,0.06467912346124649,0.9895869493484497,0.2135383039712906,0.06036799028515816,0.06665416822897138,1289.5003662109375
nature_seed202,nature,202,12,channel_affine,0.06467912346124649,1.0076910257339478,0.21744491159915924,0.05994243547320366,0.07323364533350382,1284.7939453125
nature_seed202,nature,202,12,oracle,0.06467912346124649,0.0,0.0,0.02375492826104164,0.6327264967455105,1304.2843017578125
nature_seed202,nature,202,15,channel_mean,0.07828500121831894,0.9689359068870544,0.2352614551782608,0.07180725038051605,0.08274574614539411,1351.9173583984375
nature_seed202,nature,202,15,channel_affine,0.07828500121831894,0.9734858870506287,0.23636619746685028,0.07166833430528641,0.08452023772191257,1348.7730712890625
nature_seed202,nature,202,15,oracle,0.07828500121831894,0.0,0.0,0.04145975038409233,0.47039982450187895,1362.441162109375
nature_seed202,nature,202,18,channel_mean,0.13643896579742432,0.8947961330413818,0.22838442027568817,0.12162703275680542,0.10856087155197797,1403.2369384765625
