case,prompt_id,mode,seed,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,refresh_indices,dropped_refresh,refresh_reasons,nsfw_flag,ssim,psnr_db,mean_absolute_rgb_error
text_101,text,drop_middle8,101,29.1270790733397,3638.12158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.5346024036407471,14.654027439763492,0.12438373939663756
text_202,text,drop_early8,202,29.281003016978502,3638.74658203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.6135240793228149,16.465391429194945,0.09701095281862746
text_202,text,drop_middle8,202,29.013900235295296,3638.12158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.6471514105796814,16.80787900128498,0.09175337747810712
text_202,text,drop_late8,202,28.86637632548809,3638.89501953125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.6453134417533875,16.94732392488679,0.09008119371202257
texture_101,texture,drop_middle8,101,28.27600932493806,3638.12158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.3644585907459259,12.848035951761062,0.16736080194610395
texture_101,texture,drop_late8,101,28.33425571769476,3638.89501953125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.34413349628448486,12.705768935544848,0.1701430227242264
texture_101,texture,drop_early8,101,28.013488467782736,3638.74658203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.22820131480693817,11.021869755285586,0.20266861759759244
texture_202,texture,drop_late8,202,29.233268450945616,3638.89501953125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.2596144378185272,10.772930535592629,0.20181504791858149
texture_202,texture,drop_early8,202,29.287835463881493,3638.74658203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.1978411227464676,10.68682265450208,0.2082392424539803
texture_202,texture,drop_middle8,202,29.298634253442287,3638.12158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.26772788166999817,10.948374249168175,0.1989347669813368
glass_101,glass,drop_early8,101,30.00094895809889,3638.74658203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.45779386162757874,14.441423011854047,0.1352994931289573
glass_101,glass,drop_middle8,101,29.82947178557515,3638.12158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.5061757564544678,15.195850985214967,0.11507544424019608
glass_101,glass,drop_late8,101,29.599848806858063,3638.89501953125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.5148047208786011,15.396212043148484,0.11137919706456802
glass_202,glass,drop_middle8,202,29.576815016567707,3638.12158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.45173996686935425,14.7794392260395,0.13163446164598652
glass_202,glass,drop_late8,202,29.34085263684392,3638.89501953125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.454362154006958,14.882779246100853,0.12892400704178156
glass_202,glass,drop_early8,202,29.641213055700064,3638.74658203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.41966482996940613,15.08503815776632,0.12460324156518075
objects_202,objects,drop_early8,202,26.89086776599288,3061.2177734375,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},,0.5198860764503479,15.500419687833183,0.12307631548713235
