case_id,step,age,kind,baseline_guided_noise_error,guided_noise_error,error_reduction,recovery_fraction,milliseconds
texture_seed0,18,2,activation_only,0.15759220719337463,0.15759220719337463,0.0,0.0,512.1074829101562
texture_seed0,18,2,suffix_only,0.15759220719337463,0.14688029885292053,0.010711908340454102,0.06797232256103869,1616.22314453125
texture_seed0,18,2,activation_plus_suffix,0.15759220719337463,0.07710219919681549,0.08049000799655914,0.5107486558506875,1594.4730224609375
texture_seed1,4,2,activation_only,0.03974316269159317,0.03974316269159317,0.0,0.0,379.3116455078125
texture_seed1,4,2,suffix_only,0.03974316269159317,0.04003267362713814,-0.00028951093554496765,-0.007284546974571996,1100.038818359375
texture_seed1,4,2,activation_plus_suffix,0.03974316269159317,0.009401769377291203,0.030341393314301968,0.7634368092381347,1099.8236083984375
texture_seed1,9,2,activation_only,0.08241243660449982,0.08241243660449982,0.0,0.0,378.8795166015625
texture_seed1,9,2,suffix_only,0.08241243660449982,0.08186711370944977,0.0005453228950500488,0.006616997597911982,1187.0108642578125
texture_seed1,9,2,activation_plus_suffix,0.08241243660449982,0.011394351720809937,0.07101808488368988,0.8617399000651828,1174.727294921875
texture_seed1,12,2,activation_only,0.1100216656923294,0.1100216656923294,0.0,0.0,391.4974365234375
texture_seed1,12,2,suffix_only,0.1100216656923294,0.10752096772193909,0.00250069797039032,0.022729141161918126,1219.404296875
texture_seed1,12,2,activation_plus_suffix,0.1100216656923294,0.02434593066573143,0.08567573502659798,0.778716941681162,1214.4295654296875
texture_seed1,15,2,activation_only,0.14363904297351837,0.14363904297351837,0.0,0.0,397.3977966308594
texture_seed1,15,2,suffix_only,0.14363904297351837,0.13932713866233826,0.004311904311180115,0.030019027013254797,1279.773193359375
texture_seed1,15,2,activation_plus_suffix,0.14363904297351837,0.052594903856515884,0.09104413911700249,0.633839778045497,1292.2982177734375
texture_seed1,18,2,activation_only,0.25645172595977783,0.25645172595977783,0.0,0.0,432.343017578125
texture_seed1,18,2,suffix_only,0.25645172595977783,0.2484939694404602,0.007957756519317627,0.031030231867364113,1387.56884765625
texture_seed1,18,2,activation_plus_suffix,0.25645172595977783,0.09600873291492462,0.1604429930448532,0.6256264895250394,1395.1744384765625
