case,prompt_id,mode,seed,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,refresh_indices,refresh_reasons,nsfw_flag,psnr_db,ssim,mean_absolute_rgb_error
night_202,night,fixed3,202,25.968179117888212,3640.37158203125,20,7,13,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 6, 9, 12, 15, 18]",{'scheduled_refresh': 7},False,15.399301706189068,0.57368004322052,0.10945551255170037
market_101,market,stage_aware9,101,31.13761968910694,3641.12158203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 7, 10, 13, 14, 16, 18, 19]",{'scheduled_refresh': 9},False,12.748048142051829,0.3694824278354645,0.16610718272090738
market_101,market,drop_middle8,101,28.130224615335464,3639.37158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",{'scheduled_refresh': 8},False,14.581570888117463,0.46881821751594543,0.1297675986695134
market_101,market,dpm20,101,58.78702478855848,3531.55908203125,20,20,0,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},False,,1.0,0.0
market_101,market,fixed3,101,26.242233730852604,3640.37158203125,20,7,13,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 6, 9, 12, 15, 18]",{'scheduled_refresh': 7},False,12.953349167710419,0.39640575647354126,0.15516416262957006
market_101,market,uniform9,101,30.96174494549632,3640.37158203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,14.754723399873704,0.5092670321464539,0.12415353114308875
market_202,market,drop_middle8,202,28.51115506514907,3639.37158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",{'scheduled_refresh': 8},False,13.752416306241436,0.4096730947494507,0.14504464342703227
market_202,market,dpm20,202,59.15983156859875,3531.55908203125,20,20,0,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},False,,1.0,0.0
market_202,market,fixed3,202,25.85804894939065,3640.37158203125,20,7,13,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 6, 9, 12, 15, 18]",{'scheduled_refresh': 7},False,13.176270158316077,0.36457929015159607,0.1595430511275148
market_202,market,uniform9,202,31.041357543319464,3640.37158203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,13.707114325965097,0.4275112450122833,0.14461982078801572
market_202,market,stage_aware9,202,31.517671540379524,3641.12158203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 7, 10, 13, 14, 16, 18, 19]",{'scheduled_refresh': 9},False,12.018137749881452,0.3204581141471863,0.182728252535552
